State,Year,Total_Arrivals,Total_Male_Arrivals,Total_Female_Arrivals
Johor,2020,3391945,1992547,1399398
Johor,2021,8627,6452,2175
Johor,2022,9374160,5367706,4006454
Johor,2023,17211075,9538441,7672634
Kedah,2020,289242,173493,115749
Kedah,2021,215047,214467,580
Kedah,2022,537127,347638,189489
Kedah,2023,1067038,592088,474950
Kelantan,2020,100375,53826,46549
Kelantan,2021,27,11,16
Kelantan,2022,186149,94465,91684
Kelantan,2023,547203,288620,258583
Melaka,2020,10303,4826,5477
Melaka,2021,7,4,3
Melaka,2022,49385,21975,27410
Melaka,2023,56977,25712,31265
Negeri Sembilan,2020,8352,5476,2876
Negeri Sembilan,2021,0,0,0
Negeri Sembilan,2022,50226,34015,16211
Negeri Sembilan,2023,85615,55502,30113
Pahang,2020,1792,980,812
Pahang,2021,7,7,0
Pahang,2022,1603,1001,602
Pahang,2023,9211,5033,4178
Perak,2020,46530,22041,24489
Perak,2021,69,26,43
Perak,2022,92868,44469,48399
Perak,2023,229234,107022,122212
Perlis,2020,161218,106276,54942
Perlis,2021,100921,98534,2387
Perlis,2022,437251,283481,153770
Perlis,2023,686268,402739,283529
Pulau Pinang,2020,135829,63411,72418
Pulau Pinang,2021,2639,1817,822
Pulau Pinang,2022,390584,182975,207609
Pulau Pinang,2023,1033007,483703,549304
Sabah,2020,102507,47528,54979
Sabah,2021,156,95,61
Sabah,2022,142154,67847,74307
Sabah,2023,354341,165025,189316
Sarawak,2020,297383,177389,119994
Sarawak,2021,9907,9556,351
Sarawak,2022,628152,345197,282955
Sarawak,2023,1659515,899603,759912
Selangor,2020,1619117,938551,680566
Selangor,2021,133015,93610,39405
Selangor,2022,3252445,2006270,1246175
Selangor,2023,7553241,4396425,3156816
Terengganu,2020,49,48,1
Terengganu,2021,47,47,0
Terengganu,2022,33,28,5
Terengganu,2023,52,48,4
Labuan,2020,7366,4840,2526
Labuan,2021,90,86,4
Labuan,2022,6375,4151,2224
Labuan,2023,22527,14611,7916
